Config,Model,Recall,Precision
contaminated_v1,CatBoost,0.7238566851150597,0.7223837209302325
contaminated_v1,CatBoost,0.7177395863676085,0.7270581292416642
contaminated_v1,CatBoost,0.7136615205359743,0.7339724385859796
contaminated_v1,CatBoost,0.7069618409554326,0.7381386861313869
contaminated_v1,CatBoost,0.700553451791436,0.7429718875502008
contaminated_v1,CatBoost,0.6926886105447131,0.746390458254865
contaminated_v1,CatBoost,0.6865715117972618,0.751594387755102
contaminated_v1,CatBoost,0.6792892513836295,0.7559157212317666
contaminated_v1,CatBoost,0.6717157005534518,0.7600527356624918
contaminated_v1,CatBoost,0.6618118263909117,0.7616493462956755
contaminated_v1,CatBoost,0.6548208563938246,0.7664507330378452
contaminated_v1,CatBoost,0.6466647247305564,0.7702984038861902
contaminated_v1,CatBoost,0.6402563355665598,0.7761299435028248
contaminated_v1,CatBoost,0.6323914943198369,0.780373831775701
contaminated_v1,CatBoost,0.624526653073114,0.7856357640161231
contaminated_v1,CatBoost,0.6143314884940285,0.7875280059746079
contaminated_v1,CatBoost,0.6053014855811244,0.7910163684811572
contaminated_v1,CatBoost,0.5971453539178561,0.7958074534161491
contaminated_v1,CatBoost,0.5904456743373143,0.8027722772277228
contaminated_v1,CatBoost,0.580250509758229,0.8054993934492519
contaminated_v1,CatBoost,0.5715117972618701,0.8097399917457697
contaminated_v1,CatBoost,0.5610253422662395,0.8116308470290771
contaminated_v1,CatBoost,0.5525779201864258,0.8169681309216192
contaminated_v1,CatBoost,0.5420914651907952,0.8198237885462555
contaminated_v1,CatBoost,0.5324788814448005,0.8237945020279405
contaminated_v1,CatBoost,0.5240314593649869,0.830179972311952
contaminated_v1,CatBoost,0.5135450043693562,0.8327822390174776
contaminated_v1,CatBoost,0.5045150014564521,0.8387409200968523
contaminated_v1,CatBoost,0.4963588697931838,0.8456575682382134
contaminated_v1,CatBoost,0.48732886688027965,0.8522669383596536
contaminated_v1,CatBoost,0.476842411884649,0.8557239937271301
contaminated_v1,CatBoost,0.4663559568890184,0.8593666129898014
contaminated_v1,CatBoost,0.456160792309933,0.8642384105960265
contaminated_v1,CatBoost,0.4471307893970288,0.8711691259931895
contaminated_v1,CatBoost,0.4369356248179435,0.8766803039158387
contaminated_v1,CatBoost,0.42644916982231285,0.8819277108433735
contaminated_v1,CatBoost,0.41683658607631807,0.8888198757763975
contaminated_v1,CatBoost,0.40605884066414216,0.8935897435897436
contaminated_v1,CatBoost,0.39265948150305857,0.8927152317880794
contaminated_v1,CatBoost,0.3807165744247014,0.8958190541466758
contaminated_v1,CatBoost,0.3696475385959802,0.9006387508871541
contaminated_v1,CatBoost,0.35828721235071365,0.9050772626931567
contaminated_v1,CatBoost,0.34721817652199244,0.9106187929717342
contaminated_v1,CatBoost,0.3352752694436353,0.9149443561208267
contaminated_v1,CatBoost,0.3224584911156423,0.9171499585749793
contaminated_v1,CatBoost,0.3090591319545587,0.9170267934312878
contaminated_v1,CatBoost,0.2962423536265657,0.9195298372513563
contaminated_v1,CatBoost,0.28517331779784444,0.9270833333333334
contaminated_v1,CatBoost,0.27352170113603264,0.9333996023856859
contaminated_v1,CatBoost,0.26070492280803964,0.93717277486911
contaminated_v1,CatBoost,0.24876201572968248,0.943646408839779
contaminated_v1,CatBoost,0.23681910865132538,0.9508771929824561
contaminated_v1,CatBoost,0.22400233032333236,0.9552795031055901
contaminated_v1,CatBoost,0.21002039032915817,0.9549668874172186
contaminated_v1,CatBoost,0.196038450334984,0.9559659090909091
contaminated_v1,CatBoost,0.18438683367317216,0.9678899082568807
contaminated_v1,CatBoost,0.17157005534517913,0.9751655629139073
contaminated_v1,CatBoost,0.15817069618409554,0.98014440433213
contaminated_v1,CatBoost,0.14448004660646666,0.9841269841269841
contaminated_v1,CatBoost,0.12991552577920187,0.9845474613686535
contaminated_v1,CatBoost,0.11651616661811827,0.9925558312655087
contaminated_v1,CatBoost,0.10224293620739877,0.9943342776203966
contaminated_v1,CatBoost,0.08796970579667929,0.9966996699669967
contaminated_v1,CatBoost,0.07311389455286921,0.996031746031746
contaminated_v1,CatBoost,0.058549373725604426,1.0
contaminated_v1,CatBoost,0.043984852898339644,1.0
contaminated_v1,CatBoost,0.02942033207107486,1.0
contaminated_v1,CatBoost,0.014855811243810078,1.0
contaminated_v1,CatBoost,0.0,1.0
contaminated_v1,RandomForest,1.0,0.3663429730018141
contaminated_v1,RandomForest,1.0,0.369060417114599
contaminated_v1,RandomForest,0.9994174191669094,0.3709991349480969
contaminated_v1,RandomForest,0.9988348383338188,0.37296062649554057
contaminated_v1,RandomForest,0.9979609670841829,0.374835886214442
contaminated_v1,RandomForest,0.9979609670841829,0.3771466314398943
contaminated_v1,RandomForest,0.9973783862510923,0.37930652486983496
contaminated_v1,RandomForest,0.9973783862510923,0.3816742838033664
contaminated_v1,RandomForest,0.9973783862510923,0.38402871242709735
contaminated_v1,RandomForest,0.9973783862510923,0.3864996049215487
contaminated_v1,RandomForest,0.9973783862510923,0.38886996024985804
contaminated_v1,RandomForest,0.997087095834547,0.3913341717160169
contaminated_v1,RandomForest,0.9962132245849111,0.3936011048452066
contaminated_v1,RandomForest,0.9962132245849111,0.39601667438628996
contaminated_v1,RandomForest,0.9959219341683658,0.3983455668181289
contaminated_v1,RandomForest,0.9959219341683658,0.4007736490446607
contaminated_v1,RandomForest,0.9953393533352752,0.4030431705590941
contaminated_v1,RandomForest,0.9950480629187299,0.4055562151252523
contaminated_v1,RandomForest,0.9947567725021846,0.40795603870505315
contaminated_v1,RandomForest,0.994174191669094,0.41026565692991945
contaminated_v1,RandomForest,0.994174191669094,0.41289620130655696
contaminated_v1,RandomForest,0.9938829012525487,0.4155401290951163
contaminated_v1,RandomForest,0.9935916108360034,0.4184249263984298
contaminated_v1,RandomForest,0.9930090300029129,0.421280276816609
contaminated_v1,RandomForest,0.9918438683367318,0.4235601442965543
contaminated_v1,RandomForest,0.9912612875036412,0.4263342520671511
contaminated_v1,RandomForest,0.9909699970870959,0.42905788876276957
contaminated_v1,RandomForest,0.9898048354209147,0.4315468630937262
contaminated_v1,RandomForest,0.9892222545878241,0.43427109974424555
contaminated_v1,RandomForest,0.9886396737547335,0.43737113402061856
contaminated_v1,RandomForest,0.987183221672007,0.4399584577437362
contaminated_v1,RandomForest,0.9866006408389164,0.4426872304273951
contaminated_v1,RandomForest,0.9863093504223711,0.4457609268035808
contaminated_v1,RandomForest,0.9854354791727352,0.44861424214295187
contaminated_v1,RandomForest,0.9836877366734634,0.45098824786324787
contaminated_v1,RandomForest,0.9833964462569181,0.45394648379723007
contaminated_v1,RandomForest,0.9831051558403728,0.45706933911159264
contaminated_v1,RandomForest,0.9822312845907369,0.4600272851296044
contaminated_v1,RandomForest,0.9810661229245558,0.46282808849800744
contaminated_v1,RandomForest,0.9804835420914652,0.4661404237640216
contaminated_v1,RandomForest,0.979318380425284,0.46909446072275707
contaminated_v1,RandomForest,0.9787357995921934,0.47217537942664417
contaminated_v1,RandomForest,0.977279347509467,0.4748761500353857
contaminated_v1,RandomForest,0.974366443344014,0.4771074026529739
contaminated_v1,RandomForest,0.9729099912612875,0.4800919936754348
contaminated_v1,RandomForest,0.9720361200116516,0.4832729905865315
contaminated_v1,RandomForest,0.9705796679289251,0.4862813776999416
contaminated_v1,RandomForest,0.9691232158461986,0.48926470588235293
contaminated_v1,RandomForest,0.9673754733469269,0.49221876389506447
contaminated_v1,RandomForest,0.9659190212642004,0.49522102747909197
contaminated_v1,RandomForest,0.9644625691814739,0.4985694925463033
contaminated_v1,RandomForest,0.9632974075152927,0.5018971012293216
contaminated_v1,RandomForest,0.9618409554325663,0.5051246749273367
contaminated_v1,RandomForest,0.9598019225167492,0.5080172679617638
contaminated_v1,RandomForest,0.9574715991843868,0.5108797015853279
contaminated_v1,RandomForest,0.9551412758520245,0.5139498432601881
contaminated_v1,RandomForest,0.9525196621031168,0.5167509481668774
contaminated_v1,RandomForest,0.9516457908534809,0.5204715628484945
contaminated_v1,RandomForest,0.9498980483542091,0.523855421686747
contaminated_v1,RandomForest,0.9481503058549374,0.527467185221196
contaminated_v1,RandomForest,0.9464025633556656,0.531055900621118
contaminated_v1,RandomForest,0.9443635304398486,0.5345424567188788
contaminated_v1,RandomForest,0.9434896591902127,0.5385766544728966
contaminated_v1,RandomForest,0.940868045441305,0.5417645085541765
contaminated_v1,RandomForest,0.9382464316923973,0.5449162578243952
contaminated_v1,RandomForest,0.9370812700262161,0.5490698071343233
contaminated_v1,RandomForest,0.935042237110399,0.5527811262269674
contaminated_v1,RandomForest,0.9327119137780367,0.5562890896455872
contaminated_v1,RandomForest,0.9306728808622197,0.5600350569675723
contaminated_v1,RandomForest,0.9265948150305855,0.562610541209763
contaminated_v1,RandomForest,0.9228080396154966,0.5655123170296322
contaminated_v1,RandomForest,0.9196038450334983,0.5687263556116016
contaminated_v1,RandomForest,0.9166909408680455,0.5721818181818182
contaminated_v1,RandomForest,0.9140693271191378,0.5758854835749679
contaminated_v1,RandomForest,0.9102825517040489,0.5789181178214153
contaminated_v1,RandomForest,0.9085348092047771,0.583317748270058
contaminated_v1,RandomForest,0.9067870667055054,0.5878021148036254
contaminated_v1,RandomForest,0.9027090008738713,0.5908484270734032
contaminated_v1,RandomForest,0.9000873871249636,0.5949172121678861
contaminated_v1,RandomForest,0.89659190212642,0.5984833754617928
contaminated_v1,RandomForest,0.8930964171278765,0.6022392457277549
contaminated_v1,RandomForest,0.8881444800466065,0.6049603174603174
contaminated_v1,RandomForest,0.8840664142149723,0.6084603047313553
contaminated_v1,RandomForest,0.8805709292164288,0.6123151711565729
contaminated_v1,RandomForest,0.8750364113020681,0.6148178469095374
contaminated_v1,RandomForest,0.8703757646373435,0.6185054854067481
contaminated_v1,RandomForest,0.8668802796387999,0.6225941422594142
contaminated_v1,RandomForest,0.863093504223711,0.626559526326919
contaminated_v1,RandomForest,0.8584328575589864,0.6299700726806328
contaminated_v1,RandomForest,0.8546460821438975,0.6341041711692241
contaminated_v1,RandomForest,0.8505680163122633,0.6383909051158724
contaminated_v1,RandomForest,0.8461986600640838,0.6422728277691797
contaminated_v1,RandomForest,0.8418293038159045,0.6462432915921288
contaminated_v1,RandomForest,0.8362947859015438,0.6494005881022393
contaminated_v1,RandomForest,0.8301776871540927,0.652323186083772
contaminated_v1,RandomForest,0.8234780075735508,0.6550046339202966
contaminated_v1,RandomForest,0.8188173609088261,0.6590855803048066
contaminated_v1,RandomForest,0.8135741334110108,0.6627906976744186
contaminated_v1,RandomForest,0.8060005825808331,0.6648246035559827
contaminated_v1,RandomForest,0.7993009030002913,0.667639902676399
contaminated_v1,RandomForest,0.7926012234197495,0.6705273533760473
contaminated_v1,RandomForest,0.7859015438392077,0.6733216870476666
contaminated_v1,RandomForest,0.7809496067579377,0.6777047522750252
contaminated_v1,RandomForest,0.7736673463443052,0.680327868852459
contaminated_v1,RandomForest,0.7675502475968541,0.6838826888139112
contaminated_v1,RandomForest,0.7614331488494028,0.68753287743293
contaminated_v1,RandomForest,0.7573550830177687,0.693148493735004
contaminated_v1,RandomForest,0.7512379842703175,0.6972154636388213
contaminated_v1,RandomForest,0.7465773376055928,0.7025767543859649
contaminated_v1,RandomForest,0.739877658025051,0.7063403781979978
contaminated_v1,RandomForest,0.7343431401106904,0.7113431151241535
contaminated_v1,RandomForest,0.7288086221963297,0.7169054441260745
contaminated_v1,RandomForest,0.7229828138654238,0.7217214306484443
contaminated_v1,RandomForest,0.716283134284882,0.7257969303423849
contaminated_v1,RandomForest,0.7098747451208856,0.7302966736589751
contaminated_v1,RandomForest,0.7025924847072531,0.7340231284236154
contaminated_v1,RandomForest,0.6958928051267114,0.7387136672850959
contaminated_v1,RandomForest,0.6897757063792601,0.743952246308514
contaminated_v1,RandomForest,0.6813282842994466,0.7468071519795658
contaminated_v1,RandomForest,0.6722982813865424,0.7491074326517364
contaminated_v1,RandomForest,0.6635595688901835,0.7523117569352709
contaminated_v1,RandomForest,0.6565685988930964,0.7571380584481021
contaminated_v1,RandomForest,0.6487037576463734,0.7611073137388927
contaminated_v1,RandomForest,0.6411302068161957,0.7658315935977731
contaminated_v1,RandomForest,0.6335566559860181,0.7704569606801275
contaminated_v1,RandomForest,0.6239440722400234,0.7727272727272727
contaminated_v1,RandomForest,0.6163705214098456,0.7776552737963984
contaminated_v1,RandomForest,0.608796970579668,0.7830648182840015
contaminated_v1,RandomForest,0.600058258083309,0.7868601986249045
contaminated_v1,RandomForest,0.5913195455869502,0.7908063887806779
contaminated_v1,RandomForest,0.5840372851733178,0.7972166998011928
contaminated_v1,RandomForest,0.5747159918438683,0.8007305194805194
contaminated_v1,RandomForest,0.5659772793475095,0.8052217157065893
contaminated_v1,RandomForest,0.5575298572676959,0.8103302286198137
contaminated_v1,RandomForest,0.5482085639382465,0.8143660752920814
contaminated_v1,RandomForest,0.538013399359161,0.8183429330970314
contaminated_v1,RandomForest,0.5289833964462569,0.8232094288304623
contaminated_v1,RandomForest,0.5184969414506263,0.8259860788863109
contaminated_v1,RandomForest,0.5062627439557239,0.8264384213029006
contaminated_v1,RandomForest,0.4969414506262744,0.8313840155945419
contaminated_v1,RandomForest,0.48732886688027965,0.8365
contaminated_v1,RandomForest,0.4785901543839208,0.8434291581108829
contaminated_v1,RandomForest,0.4675211185551995,0.8460727464417501
contaminated_v1,RandomForest,0.4581998252257501,0.8525745257452575
contaminated_v1,RandomForest,0.4477133702301194,0.8572225320691579
contaminated_v1,RandomForest,0.43780949606757935,0.8628013777267508
contaminated_v1,RandomForest,0.4296533644043111,0.8722649319929036
contaminated_v1,RandomForest,0.41858432857558986,0.876219512195122
contaminated_v1,RandomForest,0.40693271191377806,0.8791692888609188
contaminated_v1,RandomForest,0.397028837751238,0.8867924528301887
contaminated_v1,RandomForest,0.3850859306728809,0.8902356902356903
contaminated_v1,RandomForest,0.373434314011069,0.8940027894002789
contaminated_v1,RandomForest,0.3623652781823478,0.8994938539407086
contaminated_v1,RandomForest,0.34954849985435477,0.9009009009009009
contaminated_v1,RandomForest,0.33731430235945237,0.9039812646370023
contaminated_v1,RandomForest,0.3244975240314594,0.9064279902359642
contaminated_v1,RandomForest,0.3116807457034664,0.9083191850594228
contaminated_v1,RandomForest,0.2988639673754733,0.9103815439219166
contaminated_v1,RandomForest,0.28662976988057093,0.9144981412639405
contaminated_v1,RandomForest,0.27323041071948734,0.916015625
contaminated_v1,RandomForest,0.26099621322458494,0.9218106995884774
contaminated_v1,RandomForest,0.24905330614622778,0.9283387622149837
contaminated_v1,RandomForest,0.23652781823478009,0.9333333333333333
contaminated_v1,RandomForest,0.22371103990678706,0.9377289377289377
contaminated_v1,RandomForest,0.21060297116224877,0.94140625
contaminated_v1,RandomForest,0.19749490241771045,0.9456066945606695
contaminated_v1,RandomForest,0.18496941450626275,0.9534534534534534
contaminated_v1,RandomForest,0.17186134576172443,0.959349593495935
contaminated_v1,RandomForest,0.15787940576755025,0.9609929078014184
contaminated_v1,RandomForest,0.14360617535683076,0.9610136452241715
contaminated_v1,RandomForest,0.13108068744538304,0.9761388286334056
contaminated_v1,RandomForest,0.11739003786775415,0.9829268292682927
contaminated_v1,RandomForest,0.10369938829012526,0.9916434540389972
contaminated_v1,RandomForest,0.08913486746286048,0.9935064935064936
contaminated_v1,RandomForest,0.0742790562190504,0.9922178988326849
contaminated_v1,RandomForest,0.05942324497524031,0.9902912621359223
contaminated_v1,RandomForest,0.04427614331488494,0.987012987012987
contaminated_v1,RandomForest,0.030002912904165454,1.0
contaminated_v1,RandomForest,0.015147101660355374,1.0
contaminated_v1,RandomForest,0.0,1.0
leakfree,XGBoost,1.0,0.3663429730018141
leakfree,XGBoost,0.9997087095834547,0.36879432624113473
leakfree,XGBoost,0.9994174191669094,0.3707986598940884
leakfree,XGBoost,0.9991261287503641,0.3727450554227342
leakfree,XGBoost,0.9991261287503641,0.37482242377882197
leakfree,XGBoost,0.9988348383338188,0.37677178332051425
leakfree,XGBoost,0.9976696766676376,0.3784530386740331
leakfree,XGBoost,0.9973783862510923,0.38048672074674966
leakfree,XGBoost,0.9959219341683658,0.3820538607665661
