Config,Model,FPR,TPR
contaminated_v1,XGBoost,0.6628494442573257,0.9819399941741916
contaminated_v1,XGBoost,0.6776692489053553,0.9839790270900087
contaminated_v1,XGBoost,0.6864264061973728,0.9854354791727352
contaminated_v1,XGBoost,0.7010778039744021,0.9860180600058258
contaminated_v1,XGBoost,0.710508588750421,0.987183221672007
contaminated_v1,XGBoost,0.7233075109464466,0.9883483833381882
contaminated_v1,XGBoost,0.7436847423374874,0.9889309641712788
contaminated_v1,XGBoost,0.7556416301785113,0.9903874162540053
contaminated_v1,XGBoost,0.7672617042775345,0.9912612875036412
contaminated_v1,XGBoost,0.7847760188615696,0.9921351587532771
contaminated_v1,XGBoost,0.801953519703604,0.9930090300029129
contaminated_v1,XGBoost,0.818962613674638,0.9930090300029129
contaminated_v1,XGBoost,0.8339508251936679,0.9935916108360034
contaminated_v1,XGBoost,0.8428763893566857,0.9944654820856393
contaminated_v1,XGBoost,0.8608959245537218,0.9953393533352752
contaminated_v1,XGBoost,0.8770629841697541,0.9962132245849111
contaminated_v1,XGBoost,0.8908723475917818,0.9976696766676376
contaminated_v1,XGBoost,0.9006399461098012,0.9979609670841829
contaminated_v1,XGBoost,0.9092286965308185,0.9985435479172735
contaminated_v1,XGBoost,0.930953182889862,0.9991261287503641
contaminated_v1,XGBoost,0.9733917143819468,0.9997087095834547
contaminated_v1,XGBoost,1.0,1.0
contaminated_v1,LightGBM,0.0,0.0
contaminated_v1,LightGBM,0.0011788480970023577,0.11272939120302942
contaminated_v1,LightGBM,0.002526103065005052,0.15176230702009905
contaminated_v1,LightGBM,0.0038733580330077466,0.18642586658898921
contaminated_v1,LightGBM,0.0052206130010104415,0.2207981357413341
contaminated_v1,LightGBM,0.007073088582014146,0.2484707253131372
contaminated_v1,LightGBM,0.008588750421017177,0.27002621613748906
contaminated_v1,LightGBM,0.010272819131020546,0.2813865423827556
contaminated_v1,LightGBM,0.011956887841023913,0.29828138654238273
contaminated_v1,LightGBM,0.013640956551027282,0.3108068744538305
contaminated_v1,LightGBM,0.014988211519029977,0.32478881444800467
contaminated_v1,LightGBM,0.016672280229033345,0.33323623652781825
contaminated_v1,LightGBM,0.01835634893903671,0.34343140110690357
contaminated_v1,LightGBM,0.019703603907039405,0.35420914651907953
contaminated_v1,LightGBM,0.021387672617042774,0.3687736673463443
contaminated_v1,LightGBM,0.02324014819804648,0.3821730265074279
contaminated_v1,LightGBM,0.02492421690804985,0.3946985144188756
contaminated_v1,LightGBM,0.026271471876052544,0.41246722982813866
contaminated_v1,LightGBM,0.027787133715055576,0.42091465190795224
contaminated_v1,LightGBM,0.03014482990906029,0.43140110690358285
contaminated_v1,LightGBM,0.031828898619063656,0.43839207690066995
contaminated_v1,LightGBM,0.03401818794206803,0.44654820856393823
contaminated_v1,LightGBM,0.036375884136072754,0.4520827264782989
contaminated_v1,LightGBM,0.03822835971707646,0.4622778910573842
contaminated_v1,LightGBM,0.04058605591108117,0.47392950771919606
contaminated_v1,LightGBM,0.042438531492084874,0.47946402563355667
contaminated_v1,LightGBM,0.044796227686089596,0.48732886688027965
contaminated_v1,LightGBM,0.0466487032670933,0.49723274104281967
contaminated_v1,LightGBM,0.04900639946109801,0.5048062918729974
contaminated_v1,LightGBM,0.050858875042101716,0.5120885522866298
contaminated_v1,LightGBM,0.05304816436510609,0.5187882318671716
contaminated_v1,LightGBM,0.054732233075109465,0.5228662976988057
contaminated_v1,LightGBM,0.05725833614011452,0.5298572676958928
contaminated_v1,LightGBM,0.05894240485011788,0.5353917856102535
contaminated_v1,LightGBM,0.060626473560121255,0.5461695310224294
contaminated_v1,LightGBM,0.06332098349612664,0.553743081852607
contaminated_v1,LightGBM,0.06618390030313237,0.5621905039324206
contaminated_v1,LightGBM,0.06871000336813742,0.5659772793475095
contaminated_v1,LightGBM,0.07174132704614349,0.5720943780949607
contaminated_v1,LightGBM,0.07393061636914786,0.5755898630935042
contaminated_v1,LightGBM,0.0759514988211519,0.5811243810078648
contaminated_v1,LightGBM,0.07931963624115863,0.5875327701718613
contaminated_v1,LightGBM,0.081003704951162,0.5962714826682202
contaminated_v1,LightGBM,0.08386662175816774,0.6012234197494902
contaminated_v1,LightGBM,0.08588750421017177,0.605884066414215
contaminated_v1,LightGBM,0.08858201414617717,0.612875036411302
contaminated_v1,LightGBM,0.09228696530818457,0.6172443926594815
contaminated_v1,LightGBM,0.09380262714718761,0.6233614914069328
contaminated_v1,LightGBM,0.09632873021219265,0.6268569764054762
contaminated_v1,LightGBM,0.09986527450319974,0.6323914943198369
contaminated_v1,LightGBM,0.10222297069720444,0.6379260122341975
contaminated_v1,LightGBM,0.10592792185921186,0.6452082726478299
contaminated_v1,LightGBM,0.10828561805321657,0.6495776288960093
contaminated_v1,LightGBM,0.11081172111822163,0.6554034372269152
contaminated_v1,LightGBM,0.11266419669922532,0.6577337605592776
contaminated_v1,LightGBM,0.11468507915122937,0.6626856976405476
contaminated_v1,LightGBM,0.11670596160323342,0.6685115059714536
contaminated_v1,LightGBM,0.11855843718423711,0.672880862219633
contaminated_v1,LightGBM,0.1220949814752442,0.6784153801339936
contaminated_v1,LightGBM,0.12613674637925226,0.6819108651325372
contaminated_v1,LightGBM,0.12866284944425732,0.6868628022138071
contaminated_v1,LightGBM,0.1330414280902661,0.6921060297116225
contaminated_v1,LightGBM,0.13674637925227348,0.696475385959802
contaminated_v1,LightGBM,0.13927248231727854,0.7008447422079813
contaminated_v1,LightGBM,0.14247221286628495,0.7052140984561608
contaminated_v1,LightGBM,0.14533512967329068,0.7101660355374309
contaminated_v1,LightGBM,0.14904008083529807,0.7136615205359743
contaminated_v1,LightGBM,0.15442910070730886,0.7186134576172444
contaminated_v1,LightGBM,0.1588076793533176,0.7232741042819691
contaminated_v1,LightGBM,0.16183900303132367,0.7267695892805127
contaminated_v1,LightGBM,0.16520714045133042,0.7308476551121468
contaminated_v1,LightGBM,0.16958571909733916,0.734051849694145
contaminated_v1,LightGBM,0.17177500842034354,0.7390037867754151
contaminated_v1,LightGBM,0.17446951835634894,0.7430818526070492
contaminated_v1,LightGBM,0.17665880767935332,0.7477424992717739
contaminated_v1,LightGBM,0.1793533176153587,0.7515292746868628
contaminated_v1,LightGBM,0.18272145503536544,0.7547334692688611
contaminated_v1,LightGBM,0.18726844055237454,0.7573550830177687
contaminated_v1,LightGBM,0.1908049848433816,0.7620157296824934
contaminated_v1,LightGBM,0.19282586729538564,0.7652199242644917
contaminated_v1,LightGBM,0.19653081845739306,0.76842411884649
contaminated_v1,LightGBM,0.1998989558773998,0.7730847655112146
