Config,Model,FPR,TPR
contaminated_v1,LightGBM,0.4304770517748135,0.9585280373831776
contaminated_v1,LightGBM,0.44245986886728467,0.9606697819314641
contaminated_v1,LightGBM,0.4529730951842641,0.9626168224299065
contaminated_v1,LightGBM,0.4621297761700203,0.9639797507788161
contaminated_v1,LightGBM,0.47004295726882206,0.9655373831775701
contaminated_v1,LightGBM,0.47908659281030974,0.9670950155763239
contaminated_v1,LightGBM,0.4916346371241239,0.9690420560747663
contaminated_v1,LightGBM,0.5067827266561158,0.971183800623053
contaminated_v1,LightGBM,0.5206873163011531,0.9727414330218068
contaminated_v1,LightGBM,0.5421659507121863,0.974493769470405
contaminated_v1,LightGBM,0.5522269952520913,0.9762461059190031
contaminated_v1,LightGBM,0.5678272665611576,0.977803738317757
contaminated_v1,LightGBM,0.5749491295500792,0.9799454828660437
contaminated_v1,LightGBM,0.6026452633958852,0.9813084112149533
contaminated_v1,LightGBM,0.613045444268596,0.9824766355140186
contaminated_v1,LightGBM,0.6279674429120506,0.9836448598130841
contaminated_v1,LightGBM,0.6394980782274474,0.9853971962616822
contaminated_v1,LightGBM,0.6587158037531088,0.9865654205607477
contaminated_v1,LightGBM,0.669568166402894,0.9879283489096573
contaminated_v1,LightGBM,0.690255482704047,0.989291277258567
contaminated_v1,LightGBM,0.7075514356771422,0.9908489096573209
contaminated_v1,LightGBM,0.728012661089758,0.991822429906542
contaminated_v1,LightGBM,0.7503956590549401,0.9927959501557633
contaminated_v1,LightGBM,0.7692742482477957,0.9939641744548287
contaminated_v1,LightGBM,0.786231064888085,0.995132398753894
contaminated_v1,LightGBM,0.8126836988469365,0.9957165109034268
contaminated_v1,LightGBM,0.8335971060366267,0.9963006230529595
contaminated_v1,LightGBM,0.8511191498982591,0.996690031152648
contaminated_v1,LightGBM,0.8676237847614741,0.9974688473520249
contaminated_v1,LightGBM,0.8924937825005652,0.9982476635514018
contaminated_v1,LightGBM,0.911033235360615,0.9988317757009346
contaminated_v1,LightGBM,0.9447207777526566,0.9994158878504673
contaminated_v1,LightGBM,0.9682342301605246,0.9998052959501558
contaminated_v1,LightGBM,1.0,1.0
contaminated_v1,CatBoost,0.0,0.0
contaminated_v1,CatBoost,0.0010174089984173638,0.09813084112149532
contaminated_v1,CatBoost,0.0021478634411033234,0.1466121495327103
contaminated_v1,CatBoost,0.003391363328057879,0.18126947040498442
contaminated_v1,CatBoost,0.004634863215012435,0.205607476635514
contaminated_v1,CatBoost,0.005991408546235586,0.231892523364486
contaminated_v1,CatBoost,0.007121862988921547,0.24669003115264798
contaminated_v1,CatBoost,0.008365362875876102,0.2610981308411215
contaminated_v1,CatBoost,0.009608862762830657,0.29283489096573206
contaminated_v1,CatBoost,0.01096540809405381,0.30490654205607476
contaminated_v1,CatBoost,0.011869771648202578,0.31600467289719625
contaminated_v1,CatBoost,0.01322631697942573,0.3276869158878505
contaminated_v1,CatBoost,0.014921998643454669,0.3395638629283489
contaminated_v1,CatBoost,0.016165498530409224,0.3502725856697819
contaminated_v1,CatBoost,0.017295952973095184,0.35883956386292837
contaminated_v1,CatBoost,0.01853945286004974,0.3695482866043614
contaminated_v1,CatBoost,0.0196699073027357,0.3829828660436137
contaminated_v1,CatBoost,0.02125254352249604,0.38960280373831774
contaminated_v1,CatBoost,0.022948225186524982,0.4007009345794392
contaminated_v1,CatBoost,0.02441781596201673,0.40985202492211836
contaminated_v1,CatBoost,0.026000452181777073,0.41647196261682246
contaminated_v1,CatBoost,0.027696133845806013,0.4236760124610592
contaminated_v1,CatBoost,0.029052679177029167,0.4322429906542056
contaminated_v1,CatBoost,0.030409224508252317,0.4369158878504673
contaminated_v1,CatBoost,0.03187881528374407,0.44528816199376947
contaminated_v1,CatBoost,0.03357449694777301,0.45482866043613707
contaminated_v1,CatBoost,0.03527017861180194,0.4598909657320872
contaminated_v1,CatBoost,0.03696586027583088,0.4680685358255452
contaminated_v1,CatBoost,0.03866154193985982,0.473714953271028
contaminated_v1,CatBoost,0.040018087271082976,0.4846183800623053
contaminated_v1,CatBoost,0.04126158715803753,0.49084890965732086
contaminated_v1,CatBoost,0.04340945059914086,0.4974688473520249
contaminated_v1,CatBoost,0.044879041374632604,0.5038940809968847
contaminated_v1,CatBoost,0.046461677594392944,0.5120716510903427
contaminated_v1,CatBoost,0.04849649559122767,0.5198598130841121
contaminated_v1,CatBoost,0.050418268143793805,0.5272585669781932
contaminated_v1,CatBoost,0.05177481347501696,0.533683800623053
contaminated_v1,CatBoost,0.0534704951390459,0.5387461059190031
contaminated_v1,CatBoost,0.05505313135880624,0.5473130841121495
contaminated_v1,CatBoost,0.057427085688446754,0.5545171339563862
contaminated_v1,CatBoost,0.05878363101966991,0.5586059190031153
contaminated_v1,CatBoost,0.06059235812796744,0.5654205607476636
contaminated_v1,CatBoost,0.06240108523626498,0.5720404984423676
contaminated_v1,CatBoost,0.06398372145602532,0.5769080996884736
contaminated_v1,CatBoost,0.06545331223151707,0.5839174454828661
contaminated_v1,CatBoost,0.0672620393398146,0.589563862928349
contaminated_v1,CatBoost,0.06907076644811214,0.5950155763239875
contaminated_v1,CatBoost,0.0703142663350667,0.5996884735202492
contaminated_v1,CatBoost,0.07234908433190143,0.6035825545171339
contaminated_v1,CatBoost,0.07370562966312458,0.6117601246105919
contaminated_v1,CatBoost,0.07506217499434772,0.6177959501557633
contaminated_v1,CatBoost,0.07664481121410807,0.6261682242990654
contaminated_v1,CatBoost,0.0785665837666742,0.6333722741433022
contaminated_v1,CatBoost,0.08094053809631471,0.6372663551401869
contaminated_v1,CatBoost,0.08252317431607506,0.6415498442367601
contaminated_v1,CatBoost,0.0845579923129098,0.6473909657320872
contaminated_v1,CatBoost,0.08670585575401311,0.6530373831775701
contaminated_v1,CatBoost,0.08874067375084783,0.6575155763239875
contaminated_v1,CatBoost,0.09111462808048836,0.6621884735202492
contaminated_v1,CatBoost,0.09292335518878589,0.6674454828660437
contaminated_v1,CatBoost,0.09518426407415781,0.6721183800623053
contaminated_v1,CatBoost,0.09699299118245534,0.6758177570093458
contaminated_v1,CatBoost,0.09936694551209586,0.6799065420560748
contaminated_v1,CatBoost,0.10298439972869093,0.6861370716510904
contaminated_v1,CatBoost,0.10479312683698846,0.6900311526479751
contaminated_v1,CatBoost,0.1069409902780918,0.6943146417445483
contaminated_v1,CatBoost,0.1092018991634637,0.6991822429906542
contaminated_v1,CatBoost,0.11134976260456704,0.7026869158878505
contaminated_v1,CatBoost,0.11304544426859597,0.7075545171339563
contaminated_v1,CatBoost,0.11474112593262492,0.713006230529595
contaminated_v1,CatBoost,0.11632376215238525,0.7165109034267912
contaminated_v1,CatBoost,0.11881076192629438,0.722936137071651
contaminated_v1,CatBoost,0.12016730725751752,0.7266355140186916
contaminated_v1,CatBoost,0.12186298892154646,0.731113707165109
contaminated_v1,CatBoost,0.12423694325118698,0.7361760124610592
contaminated_v1,CatBoost,0.1263848066922903,0.7406542056074766
contaminated_v1,CatBoost,0.12887180646619942,0.745132398753894
contaminated_v1,CatBoost,0.1314718516843771,0.7513629283489096
