batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
3,StandardNSGA2,2,0.5547092237713063,0.32186693698141366,1.0954451150103324,0.7892902200697135,2.550039336496682,0.06975557895721875,0.5547092237713063,0.32186693698141366,1.0954451150103324,0.7892902200697135,228.97880208333328,0.0,28,6.0,0.075,0.6666666666666666,60.0
3,StandardNSGA2,3,0.5486918307040545,0.31837239538397727,0.8717797887081347,0.7548444872777391,2.5929131994902628,0.06471576030588819,0.5486918307040545,0.31837239538397727,0.8717797887081347,0.7548444872777391,151.06055208333333,0.0,28,4.0,0.025,0.0,60.0
3,StandardNSGA2,4,0.583225364613471,0.2749005711110448,1.216552506059644,0.7348898371867405,2.413784921592547,0.0750306343477524,0.583225364613471,0.2749005711110448,1.216552506059644,0.7348898371867405,163.76746874999998,0.0,23,6.0,0.075,0.6666666666666666,60.0
3,StandardNSGA2,5,0.5992363872360154,0.27065241086757896,1.4422205101855958,0.8121809869102478,2.55931171092109,0.0668175390218787,0.5992363872360154,0.27065241086757896,1.4422205101855958,0.8121809869102478,197.87811458333329,0.0,20,7.0,0.1,0.25,60.0
3,StandardNSGA2,6,0.5892328820319085,0.29723017374975125,1.3564659966250536,0.7650221409261981,3.1702717577331017,0.06084005004866996,0.5892328820319085,0.29723017374975125,1.3564659966250536,0.7650221409261981,482.002986111111,0.0,19,5.0,0.025,1.0,60.0
3,StandardNSGA2,7,0.586410320912641,0.29425532263483023,1.32664991614216,0.8018282207962807,3.4774722786509997,0.0464188500874058,0.586410320912641,0.29425532263483023,1.32664991614216,0.8018282207962807,351.44042361111104,0.0,20,6.0,0.125,0.4,60.0
3,StandardNSGA2,8,0.569252618673221,0.3173903781102939,1.019803902718557,0.6268855877375344,3.157777148678634,0.04716278815399155,0.569252618673221,0.3173903781102939,1.019803902718557,0.6268855877375344,237.77718402777776,0.0,26,4.0,0.075,0.3333333333333333,60.0
3,StandardNSGA2,9,0.5713097905257328,0.3272112058433588,1.077032961426901,0.7812495576548402,3.1677848357868097,0.054013425296759,0.5713097905257328,0.3272112058433588,1.077032961426901,0.7812495576548402,285.58090624999994,0.0,22,4.0,0.075,0.6666666666666666,60.0
3,StandardNSGA2,10,0.5819469473392156,0.31828607025840405,1.1832159566199234,0.853157736034025,3.6898843366995804,0.04490455137651734,0.5819469473392156,0.31828607025840405,1.1832159566199234,0.853157736034025,429.46143749999993,0.0,23,6.0,0.075,0.6666666666666666,60.0
3,StandardNSGA2,11,0.6112648587622562,0.3333102389112338,1.2806248474865698,0.6705905005512427,2.150612106056591,0.05755705252300228,0.6112648587622562,0.3333102389112338,1.2806248474865698,0.6705905005512427,316.2445173611111,0.0,20,6.0,0.1,0.25,60.0
3,StandardNSGA2,12,0.6328036409956046,0.29459013789799904,1.4832396974191326,0.7311450939356003,2.0530147803200847,0.05862017749109995,0.6328036409956046,0.29459013789799904,1.4832396974191326,0.7311450939356003,158.07120138888882,0.0,19,7.0,0.075,0.3333333333333333,60.0
3,StandardNSGA2,13,0.5213923339816852,0.32322988260374785,1.0392304845413265,0.5721376380536066,2.2797675211344304,0.05903627910278599,0.5213923339816852,0.32322988260374785,1.0392304845413265,0.5721376380536066,183.0122777777778,0.0,24,4.0,0.1,0.0,60.0
3,StandardNSGA2,14,0.5125739920870883,0.3295641107526869,1.0583005244258363,0.7537838747680874,2.5970237092259736,0.06103673404047708,0.5125739920870883,0.3295641107526869,1.0583005244258363,0.7537838747680874,201.3212361111111,0.0,25,5.0,0.05,0.5,60.0
3,StandardNSGA2,15,0.5170405582282169,0.37157396937263254,0.9591663046625439,0.5973165942512416,1.8349403219415912,0.0533223575065367,0.5170405582282169,0.37157396937263254,0.9591663046625439,0.5973165942512416,147.06468055555555,0.0,26,4.0,0.05,0.0,60.0
3,StandardNSGA2,16,0.49173804767540874,0.3335619715919222,0.9797958971132713,0.6074151564754002,2.4383674996890905,0.05419833259554198,0.49173804767540874,0.3335619715919222,0.9797958971132713,0.6074151564754002,148.9290833333333,0.0,26,4.0,0.05,0.0,60.0
3,StandardNSGA2,17,0.4887302848619486,0.3630387831001193,1.0583005244258363,0.8691671404414472,2.854565340882402,0.04748364452027123,0.4887302848619486,0.3630387831001193,1.0583005244258363,0.8691671404414472,392.24037500000003,0.0,24,4.0,0.075,0.6666666666666666,60.0
3,StandardNSGA2,18,0.5591926090317498,0.33049459470368164,1.148912529307606,0.7125832492102235,3.1245797712385177,0.042870992851383495,0.5591926090317498,0.33049459470368164,1.148912529307606,0.7125832492102235,350.86351388888886,0.0,20,4.0,0.1,0.75,60.0
3,StandardNSGA2,19,0.5607983574908664,0.32379586878541505,1.0954451150103324,0.7056127859490664,3.0001055209130234,0.05739601859007903,0.5607983574908664,0.32379586878541505,1.0954451150103324,0.7056127859490664,343.0630243055555,0.0,25,5.0,0.05,1.0,60.0
3,StandardNSGA2,20,0.5129655816071871,0.3402369530305246,1.0954451150103324,0.7823531792341388,2.23262229537793,0.07483452394644452,0.5129655816071871,0.3402369530305246,1.0954451150103324,0.7823531792341388,222.25002083333342,0.0,25,5.0,0.05,0.5,60.0
3,StandardNSGA2,21,0.5655088634800105,0.2992064013070153,1.3416407864998738,0.7242808690762154,2.1262442533441757,0.06288967230618628,0.5655088634800105,0.2992064013070153,1.3416407864998738,0.7242808690762154,166.4736875,0.0,21,7.0,0.05,0.5,60.0
3,StandardNSGA2,22,0.5518986519618074,0.3232794428415926,1.2649110640673518,0.6491963866165534,2.3386817046350217,0.0556752034241139,0.5518986519618074,0.3232794428415926,1.2649110640673518,0.6491963866165534,208.58554166666664,0.0,22,5.0,0.05,0.5,60.0
3,StandardNSGA2,23,0.5856589272476175,0.3253939681244825,1.1661903789690602,0.7565821676068174,2.981680037237477,0.06328168446159724,0.5856589272476175,0.3253939681244825,1.1661903789690602,0.7565821676068174,450.1093888888889,0.0,22,5.0,0.15,0.3333333333333333,60.0
3,StandardNSGA2,24,0.6076404747874109,0.36833681454507217,1.1135528725660044,0.6455306541877339,2.194858747830725,0.057796255421764114,0.6076404747874109,0.36833681454507217,1.1135528725660044,0.6455306541877339,129.32179513888892,0.0,24,5.0,0.025,0.0,60.0
3,StandardNSGA2,25,0.6039834776154391,0.29061250938131,1.1661903789690602,0.6967117719534495,2.9382534223703436,0.06776610466868944,0.6039834776154391,0.29061250938131,1.1661903789690602,0.6967117719534495,298.68542013888884,0.0,24,5.0,0.1,0.5,60.0
3,StandardNSGA2,26,0.5726015644074904,0.29645530407162923,1.2961481396815722,0.6482680543494214,2.651190039836483,0.04022910358561255,0.5726015644074904,0.29645530407162923,1.2961481396815722,0.6482680543494214,251.34862152777777,0.0,21,6.0,0.025,0.0,60.0
3,StandardNSGA2,27,0.5972784597003497,0.3228392285880052,1.1661903789690602,0.7908393155750579,2.994797287623635,0.06267542089211915,0.5972784597003497,0.3228392285880052,1.1661903789690602,0.7908393155750579,232.77896874999996,0.0,24,5.0,0.1,0.5,60.0
3,StandardNSGA2,28,0.5522655001838653,0.33510419987136836,1.371130920080209,0.5992850613195675,1.0375091116805124,0.048516803787612486,0.5522655001838653,0.33510419987136836,1.371130920080209,0.5992850613195675,4.13525,0.0,19,6.0,0.05,0.5,60.0
3,StandardNSGA2,29,0.5848044931623738,0.3472745241302467,1.2165525060596443,0.7466456019127763,3.1993579958651126,0.045650342837270735,0.5848044931623738,0.3472745241302467,1.2165525060596443,0.7466456019127763,440.68921874999995,0.0,25,6.0,0.1,0.75,60.0
3,NSGA3,0,0.6224283092067697,0.2675171874272092,1.2489995996796797,0.7246845221303313,2.313896356945313,0.0908539521777097,0.6224283092067697,0.2675171874272092,1.2489995996796797,0.7246845221303313,194.03549305555552,0.0,23,7.0,0.05,0.0,18.0
3,NSGA3,1,0.5903461503927782,0.2821208961222425,1.6852299546352716,0.8507642826822119,1.4830678070705516,0.0849543514564491,0.5903461503927782,0.2821208961222425,1.6852299546352716,0.8507642826822119,45.01834722222223,0.0,19,10.0,0.075,0.3333333333333333,16.0
3,NSGA3,2,0.587368919430582,0.2804198881748602,1.216552506059644,0.8416133098822405,2.324589621210291,0.0935475830617091,0.587368919430582,0.2804198881748602,1.216552506059644,0.8416133098822405,211.91583680555556,0.0,24,6.0,0.15,0.6666666666666666,18.0
3,NSGA3,3,0.6022050210509253,0.27709827992343294,1.5874507866387544,0.808804264330476,1.6698603195054502,0.08743361551304142,0.6022050210509253,0.27709827992343294,1.5874507866387544,0.808804264330476,78.67860763888889,0.0,19,9.0,0.1,0.25,14.0
