batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
2,PAA-noAdaptive,29,0.7208989911921041,0.25486018995938153,1.697056274847714,0.9233633381534883,2.434312543896641,0.048907457497444407,0.7208989911921041,0.25486018995938153,1.697056274847714,0.18181818181818182,0.9233633381534883,212.55105555555556,0.0,16,8.0,0.125,0.6,60.0
2,PAA-noSLAMut,0,0.7460201517022803,0.2197956798255647,1.4000000000000001,0.8033297113745285,3.1403437984370792,0.05409137653430846,0.7460201517022803,0.2197956798255647,1.4000000000000001,0.24615384615384617,0.8033297113745285,299.8889722222222,0.0,19,7.0,0.075,0.0,60.0
2,PAA-noSLAMut,1,0.737125661269504,0.23779017644975298,1.4832396974191329,0.7289715623009163,2.942389844906162,0.04184613585929753,0.737125661269504,0.23779017644975298,1.4832396974191329,0.22535211267605634,0.7289715623009163,330.44178124999996,0.0,18,7.0,0.125,0.8,60.0
2,PAA-noSLAMut,2,0.7121177461846894,0.2625758983476621,1.4832396974191326,0.7955208365865103,2.454455823866676,0.04786157566458932,0.7121177461846894,0.2625758983476621,1.4832396974191326,0.22535211267605634,0.7955208365865103,166.16896527777777,0.0,18,7.0,0.075,0.3333333333333333,60.0
2,PAA-noSLAMut,3,0.7458518839633803,0.23826905407538526,1.4142135623730951,0.7765428285929289,3.174141911027006,0.05000394317439219,0.7458518839633803,0.23826905407538526,1.4142135623730951,0.24242424242424243,0.7765428285929289,410.5855590277777,0.0,20,6.0,0.075,0.3333333333333333,60.0
2,PAA-noSLAMut,4,0.6753585661037702,0.24060849921654923,1.708800749063506,0.722683786735969,1.8814061063373189,0.036815396068735066,0.6753585661037702,0.24060849921654923,1.708800749063506,0.1797752808988764,0.722683786735969,144.96655555555554,0.0,19,10.0,0.05,0.5,60.0
2,PAA-noSLAMut,5,0.710238450940467,0.2339047484241677,1.562049935181331,0.748726374835995,2.363343200155719,0.05123703228523772,0.710238450940467,0.2339047484241677,1.562049935181331,0.2077922077922078,0.748726374835995,182.25037847222222,0.0,17,7.0,0.05,0.0,60.0
2,PAA-noSLAMut,6,0.7201731304158715,0.24434715061138582,1.4832396974191326,0.8654522365360847,2.841872478992685,0.0492323050835439,0.7201731304158715,0.24434715061138582,1.4832396974191326,0.22535211267605634,0.8654522365360847,299.9382256944444,0.0,20,8.0,0.075,0.3333333333333333,60.0
2,PAA-noSLAMut,7,0.7567388251210205,0.239768133808467,1.4422205101855958,0.8198938987688805,3.179568101819956,0.048886226505840985,0.7567388251210205,0.239768133808467,1.4422205101855958,0.23529411764705882,0.8198938987688805,349.2520034722222,0.0,17,6.0,0.1,0.5,60.0
2,PAA-noSLAMut,8,0.7241752219414219,0.20716312500497552,1.6,0.7374907572626168,2.619210015517729,0.05086169896280932,0.7241752219414219,0.20716312500497552,1.6,0.2,0.7374907572626168,248.8106736111111,0.0,15,8.0,0.05,0.0,60.0
2,PAA-noSLAMut,9,0.6680030085112831,0.22455923913356995,1.8867962264113207,0.8861528941216047,2.127122072675777,0.04788383305258191,0.6680030085112831,0.22455923913356995,1.8867962264113207,0.1523809523809524,0.8861528941216047,210.54046527777774,0.0,18,12.0,0.1,0.5,60.0
2,PAA-noSLAMut,10,0.6773226046581837,0.23815793870370952,1.6370705543744897,0.7535188845262386,1.672481436314338,0.04095844946376738,0.6773226046581837,0.23815793870370952,1.6370705543744897,0.1927710843373494,0.7535188845262386,171.84620138888886,0.0,19,10.0,0.075,0.3333333333333333,60.0
2,PAA-noSLAMut,11,0.7213126481862652,0.21525029807958362,1.2961481396815722,0.6989297028106201,2.9277069245202436,0.055540916043804456,0.7213126481862652,0.21525029807958362,1.2961481396815722,0.27586206896551724,0.6989297028106201,266.0583888888889,0.0,20,6.0,0.025,0.0,60.0
2,PAA-noSLAMut,12,0.7318872318155114,0.22066984150871222,1.6852299546352716,0.7615112983652029,2.2029750610765575,0.047596130828581495,0.7318872318155114,0.22066984150871222,1.6852299546352716,0.1839080459770115,0.7615112983652029,164.07329861111114,0.0,18,9.0,0.025,0.0,60.0
2,PAA-noSLAMut,13,0.6861929634995445,0.2701970562063133,1.4000000000000001,0.654485689691986,2.0048432823890416,0.049007742351798174,0.6861929634995445,0.2701970562063133,1.4000000000000001,0.24615384615384617,0.654485689691986,311.1680625,0.0,19,7.0,0.075,0.6666666666666666,60.0
2,PAA-noSLAMut,14,0.7166807734881093,0.21316400131748722,1.6613247725836147,0.7693152003576376,2.53928486345466,0.051734237571584095,0.7166807734881093,0.21316400131748722,1.6613247725836147,0.18823529411764706,0.7693152003576376,186.1059826388889,0.0,19,10.0,0.125,0.4,60.0
2,PAA-noSLAMut,15,0.746792154915701,0.2178486163462603,1.6370705543744901,0.8537735697255453,2.601335712397634,0.05275034364069965,0.746792154915701,0.2178486163462603,1.6370705543744901,0.1927710843373494,0.8537735697255453,260.0244895833333,0.0,15,8.0,0.1,0.5,60.0
